제목
김근하 제조업은 값싼 인건비가 최고?AI·IoT로 맞춤형 제조 전환해야
미 제조업지수 한달새 급락공급망 대란 충격 현실로(종합)
[김규성 칼럼] 제조업 엑소더스 부추기는 정부
톤28 국제수준 COSMOS ORGANIC 제조 시설 인증
국회·식약처 임의제조 처벌강화 공감 법안 탄력받나
김근하 대표 중견·중소 제조업의 생존스마트 플랫폼에 달렸다
중소 제조업 648% 주52시간제 힘들다
기저효과로 취업자 늘었지만글로벌 공급망 쇼크로 경제 주축 제조업 일자리 마이너스
30대만 비껴간 고용시장 온기도소매업·제조업 부진 영향
포항시 애플과 제조업 스마트도시 만들기 본격 추진
취업자 67만 명 늘어났지만제조·대면서비스는 여전히 고전
3·4분기 제조업 경기 먹구름대부분 업종 BSI 하락세
포항시 애플과 함께 제조업 스마트화 신산업 육성 나서
4분기 제조업 경기 기대감 주춤디스플레이·조선 하락 전망
제조 메타버스로 경남 스마트 제조혁신 대비한다
외국인근로자 5만8천명 감소제조업체 65% 쿼터 확대
절대 공유 못해모더나가 백신 제조법 공개 안하는 진짜 이유
친환경 플라스틱 제조 최적화된 금형 설비 개발된다
충북 스마트공장 구축으로 제조혁신 선두 노린다
새만금산단 차세대 태양전지 제조기업 대형 투자협약
투자받기 힘든 제조 스타트업 안 망하려 온종일 로봇과 씨름
KATECH 제조기술연구센터 차량부품 평가인증 지원 기반구축사업 완료
모더나 코로나 백신 제조법 공유 안한다자체 생산이 최선
자영업·도소매·제조업 여전히 어려워완전한 고용 회복 먼 길
울산보건환경연구원 식품 제조용 지하수 바이러스 검사
이산화탄소 배출없는 친환경 배터리 제조 공정 개발
포항 애플과 손잡고 ‘제조업 스마트화’
SMATEC2021 ‘스마트 제조의 미래’로 컨퍼런스 개최
수소 제조부터 수송 현지 판매까지일본 종합상사의 수소사업
서울창업허브 아마존에서 제조 스타트업 키운다
